publicacion,region,producto,flujo,unidad,anio,escenario,valor
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2024,Caso principal,1047.26
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2024,Caso principal,15.4
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2024,Caso principal,1434.99
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2024,Caso principal,1229.74
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2024,Caso principal,930.81
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2025,Caso acelerado,179.76
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2025,Caso acelerado,0.55
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2025,Caso acelerado,7.84
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2025,Caso acelerado,99.08
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2025,Caso acelerado,1186.26
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2025,Caso acelerado,15.89
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2025,Caso acelerado,1459.31
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2025,Caso acelerado,1589.41
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2025,Caso acelerado,1228.4
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2025,Caso principal,178.58
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2025,Caso principal,0.55
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2025,Caso principal,7.8
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2025,Caso principal,98.16
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2025,Caso principal,1171.22
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2025,Caso principal,15.84
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2025,Caso principal,1458.31
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2025,Caso principal,1550.26
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2025,Caso principal,1195.25
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2026,Caso acelerado,184.37
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2026,Caso acelerado,0.56
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2026,Caso acelerado,8.11
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2026,Caso acelerado,121.79
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2026,Caso acelerado,1312.72
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2026,Caso acelerado,16.71
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2026,Caso acelerado,1486.09
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2026,Caso acelerado,1953.48
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2026,Caso acelerado,1512.75
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2026,Caso principal,182.34
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2026,Caso principal,0.56
